,listing_url,last_scraped,host_since,zipcode,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities_cat,amenities_count,minimum_nights,maximum_nights,instant_bookable,availability_365,price,latitude,longitude,years_in_business,revenue,revenue_per_accommodates
711,https://www.airbnb.com/rooms/13696391,2023-03-25,2013-06-01,98103.0,Entire home/apt,8,2.5,3.0,3.0,basic,37,30,1125,f,365,500.0,47.65444,-122.32853,10.0,0.0,0.0
712,https://www.airbnb.com/rooms/13712209,2023-03-25,2016-02-08,98107.0,Entire home/apt,2,1.0,,1.0,basic,35,6,45,f,36,111.0,47.6733,-122.39498,7.0,36519.0,18259.5
713,https://www.airbnb.com/rooms/13732104,2023-03-25,2016-01-13,98174.0,Entire home/apt,8,2.0,3.0,4.0,moderate,61,2,1125,f,298,314.0,47.60665,-122.33875,7.0,21038.0,2629.75
714,https://www.airbnb.com/rooms/13751731,2023-03-25,2013-10-24,98103.0,Entire home/apt,8,2.0,3.0,3.0,moderate,64,3,365,f,0,340.0,47.66379,-122.34129,9.0,124100.0,15512.5
715,https://www.airbnb.com/rooms/13753865,2023-03-25,2014-05-14,98122.0,Private room,2,1.0,1.0,2.0,moderate,47,1,30,f,0,200.0,47.60943,-122.31725,9.0,73000.0,36500.0
716,https://www.airbnb.com/rooms/13781518,2023-03-25,2016-06-30,98199.0,Entire home/apt,4,1.0,2.0,2.0,moderate,66,3,20,f,26,154.0,47.65278,-122.40436,7.0,52206.0,13051.5
717,https://www.airbnb.com/rooms/13786651,2023-03-25,2016-01-13,98174.0,Entire home/apt,8,2.0,2.0,2.0,moderate,61,2,1125,f,301,317.0,47.60636,-122.33855,7.0,20288.0,2536.0
718,https://www.airbnb.com/rooms/13787761,2023-03-25,2014-07-02,98103.0,Entire home/apt,3,1.0,2.0,2.0,moderate,43,1,5,t,115,125.0,47.6702,-122.35493,9.0,31250.0,10416.666666666666
719,https://www.airbnb.com/rooms/13794197,2023-03-25,2015-01-07,98116.0,Entire home/apt,4,1.0,2.0,2.0,moderate,46,1,1125,t,267,150.0,47.57626,-122.39009,8.0,14700.0,3675.0
720,https://www.airbnb.com/rooms/13814892,2023-03-25,2013-08-04,98103.0,Private room,2,1.5,1.0,1.0,basic,31,2,28,f,82,72.0,47.65279,-122.35486,10.0,20376.0,10188.0
721,https://www.airbnb.com/rooms/13823956,2023-03-25,2016-05-09,98117.0,Entire home/apt,2,1.0,1.0,2.0,basic,36,1,30,f,272,124.0,47.68425,-122.38678,7.0,11532.0,5766.0
722,https://www.airbnb.com/rooms/13825056,2023-03-25,2012-06-29,98133.0,Entire home/apt,2,1.0,,1.0,basic,27,1,15,t,83,59.0,47.70163,-122.34716,11.0,16638.0,8319.0
723,https://www.airbnb.com/rooms/13831631,2023-03-25,2012-07-27,98105.0,Entire home/apt,3,1.0,,2.0,basic,34,2,1125,f,316,85.0,47.66312,-122.31397,11.0,4165.0,1388.3333333333333
724,https://www.airbnb.com/rooms/13843060,2023-03-25,2016-01-21,98102.0,Entire home/apt,2,1.0,,1.0,basic,28,3,60,f,295,91.0,47.65132,-122.32236,7.0,6370.0,3185.0
725,https://www.airbnb.com/rooms/13845855,2023-03-25,2014-01-14,98144.0,Entire home/apt,4,1.0,,2.0,basic,36,5,1125,f,25,70.0,47.58723,-122.3113,9.0,23800.0,5950.0
