,listing_url,last_scraped,host_since,zipcode,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities_cat,amenities_count,minimum_nights,maximum_nights,instant_bookable,availability_365,price,latitude,longitude,years_in_business,revenue,revenue_per_accommodates,0.25_price,0.5_price,0.75_price,outlier,0.25_acc,0.5_acc,0.75_acc,outlier_2,0.25_bathroom,0.5_bathroom,0.75_bathroom,outlier_3,bedrooms_cat,bathrooms_cat,years_in_business_cat,expected_annual_occupency,0.25_revenue,0.5_revenue,0.75_revenue,revenue_cat,0.25_revenue_acc,0.5_revenue_acc,0.75_revenue_acc,revenue_cat_acc,0.25_price_bedcat,0.5_price_bedcat,0.75_price_bedcat,price_cat
20,https://www.airbnb.com/rooms/558860661536545396,2023-03-25,2022-01-19,92109.0,Entire home/apt,4,1.0,1.0,2.0,moderate,63,3,365,f,115,294.0,32.77467,-117.25198,1.0,73500.0,18375.0,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 1-5, 9-10 month,7048.0,21060.0,36127.5,>75th,2894.583333333333,8824.5,15303.5,>75th,85.0,120.0,164.0,>75th
21,https://www.airbnb.com/rooms/47988302,2023-03-25,2021-02-01,92109.0,Entire home/apt,4,1.0,1.0,3.0,moderate,63,1,21,t,256,293.0,32.78158,-117.25329,2.0,31937.0,7984.25,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 1-5, 3-4 month,7048.0,21060.0,36127.5,50th-75th,2894.583333333333,8824.5,15303.5,25th-50th,85.0,120.0,164.0,>75th
22,https://www.airbnb.com/rooms/836278370544620115,2023-03-25,2021-09-20,92122.0,Entire home/apt,4,1.0,1.0,2.0,moderate,69,2,800,t,350,293.0,32.85619903,-117.2034438,2.0,4395.0,1098.75,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 1-5, 10 days- 1 month,7048.0,21060.0,36127.5,<25th,2894.583333333333,8824.5,15303.5,<25th,85.0,120.0,164.0,>75th
23,https://www.airbnb.com/rooms/836284644755052553,2023-03-25,2021-09-20,92122.0,Entire home/apt,4,1.0,1.0,2.0,moderate,70,2,365,t,332,293.0,32.8569483,-117.2046673,2.0,9669.0,2417.25,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 1-5, 1-2 month,7048.0,21060.0,36127.5,25th-50th,2894.583333333333,8824.5,15303.5,<25th,85.0,120.0,164.0,>75th
24,https://www.airbnb.com/rooms/13298532,2023-03-25,2015-07-02,92109.0,Entire home/apt,4,1.0,1.0,2.0,moderate,48,6,365,t,323,292.0,32.79963,-117.25803,8.0,12264.0,3066.0,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 6-10, 1-2 month,7048.0,21060.0,36127.5,25th-50th,2894.583333333333,8824.5,15303.5,25th-50th,85.0,120.0,164.0,>75th
25,https://www.airbnb.com/rooms/42492297,2023-03-25,2014-12-03,92109.0,Entire home/apt,4,1.0,1.0,2.0,moderate,66,2,180,f,26,292.0,32.80633,-117.25594,8.0,98988.0,24747.0,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 6-10,completely booked,7048.0,21060.0,36127.5,>75th,2894.583333333333,8824.5,15303.5,>75th,85.0,120.0,164.0,>75th
26,https://www.airbnb.com/rooms/50571372,2023-03-25,2013-12-30,92037.0,Entire home/apt,4,1.0,1.0,2.0,moderate,63,3,365,f,277,292.0,32.84554,-117.26646,9.0,25696.0,6424.0,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 6-10, 2-3 month,7048.0,21060.0,36127.5,50th-75th,2894.583333333333,8824.5,15303.5,25th-50th,85.0,120.0,164.0,>75th
27,https://www.airbnb.com/rooms/1511818,2023-03-25,2011-07-26,92109.0,Entire home/apt,4,1.0,1.0,3.0,moderate,70,3,270,f,333,290.0,32.78568,-117.25392,12.0,9280.0,2320.0,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1,>10, 1-2 month,7048.0,21060.0,36127.5,25th-50th,2894.583333333333,8824.5,15303.5,<25th,85.0,120.0,164.0,>75th
28,https://www.airbnb.com/rooms/13801479,2023-03-25,2015-12-23,92109.0,Entire home/apt,4,1.0,1.0,1.0,luxury,76,4,30,f,10,290.0,32.80159,-117.25718,7.0,102950.0,25737.5,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 6-10,completely booked,7048.0,21060.0,36127.5,>75th,2894.583333333333,8824.5,15303.5,>75th,85.0,120.0,164.0,>75th
29,https://www.airbnb.com/rooms/783363691418192684,2023-03-25,2017-01-16,92109.0,Entire home/apt,4,1.0,1.0,2.0,basic,31,3,365,t,360,290.0,32.78736143,-117.2536478,6.0,1450.0,362.5,87.0,125.0,176.0,0,1.0,1.0,2.0,0,100.0,139.0,198.0,0,1.0,1, 6-10, 0-10,7048.0,21060.0,36127.5,<25th,2894.583333333333,8824.5,15303.5,<25th,85.0,120.0,164.0,>75th
